cve_id,date_of_report,cve_type,root_cause,security_tactic,total_impacted_files,code_churn,issue_tracking_url,patch_url
CVE-2005-3402,2005-10-08 12:54:00 UTC,TACTICAL,CWE-757 Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade'),Encrypt Data,20,410,https://bugzilla.mozilla.org/show_bug.cgi?id=311657,"https://bugzilla.mozilla.org/attachment.cgi?id=269413,https://bugzilla.mozilla.org/attachment.cgi?id=271867"
CVE-2005-4809,2004-10-30 22:56:00 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,1,39,https://bugzilla.mozilla.org/show_bug.cgi?id=266932,https://bugzilla.mozilla.org/attachment.cgi?id=207470
CVE-2006-0236,2005-07-10 07:36:00 UTC,TACTICAL,CWE-94 Improper Control of Generation of Code ('Code Injection'),Validate Inputs,5,48,https://bugzilla.mozilla.org/show_bug.cgi?id=300246,"https://bugzilla.mozilla.org/attachment.cgi?id=190646,https://bugzilla.mozilla.org/attachment.cgi?id=271708,https://bugzilla.mozilla.org/attachment.cgi?id=271260"
CVE-2006-0294,2005-11-27 17:25:00 UTC,NON-TACTICAL,,,2,98,https://bugzilla.mozilla.org/show_bug.cgi?id=317934,https://bugzilla.mozilla.org/attachment.cgi?id=204322
CVE-2006-0295,2005-12-06 14:25:00 UTC,NON-TACTICAL,,,2,44,https://bugzilla.mozilla.org/show_bug.cgi?id=319296,"https://bugzilla.mozilla.org/attachment.cgi?id=205788,https://bugzilla.mozilla.org/attachment.cgi?id=205782"
CVE-2006-0297,2005-12-11 15:46:00 UTC,NON-TACTICAL,,,4,92,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=322215,319872","https://bugzilla.mozilla.org/attachment.cgi?id=207642,https://bugzilla.mozilla.org/attachment.cgi?id=208787,https://bugzilla.mozilla.org/attachment.cgi?id=205762,https://bugzilla.mozilla.org/attachment.cgi?id=207547"
CVE-2006-0749,2004-11-11 09:01:00 UTC,NON-TACTICAL,,,3,71,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=320182,269095","https://bugzilla.mozilla.org/attachment.cgi?id=165610,https://bugzilla.mozilla.org/attachment.cgi?id=210781"
CVE-2006-0884,2005-12-11 12:49:00 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,1,14,https://bugzilla.mozilla.org/show_bug.cgi?id=319858,https://bugzilla.mozilla.org/attachment.cgi?id=213122
CVE-2006-1045,2006-03-01 02:41:00 UTC,TACTICAL,CWE-279 Incorrect Execution-Assigned Permissions,Authorize Actors,1,4,https://bugzilla.mozilla.org/show_bug.cgi?id=328917,https://bugzilla.mozilla.org/attachment.cgi?id=213621
CVE-2006-1530,2006-02-10 04:20:00 UTC,NON-TACTICAL,,,1,3,https://bugzilla.mozilla.org/show_bug.cgi?id=326615,https://bugzilla.mozilla.org/attachment.cgi?id=213421
CVE-2006-1531,2006-02-11 21:18:00 UTC,NON-TACTICAL,,,4,78,https://bugzilla.mozilla.org/show_bug.cgi?id=326834,"https://bugzilla.mozilla.org/attachment.cgi?id=211639,https://bugzilla.mozilla.org/attachment.cgi?id=211635,https://bugzilla.mozilla.org/attachment.cgi?id=211637"
CVE-2006-1723,2006-02-20 17:58:00 UTC,NON-TACTICAL,,,1,20,https://bugzilla.mozilla.org/show_bug.cgi?id=327941,https://bugzilla.mozilla.org/attachment.cgi?id=212676
CVE-2006-1724,2005-02-13 08:12:00 UTC,NON-TACTICAL,,,12,821,https://bugzilla.mozilla.org/show_bug.cgi?id=282105,"https://bugzilla.mozilla.org/attachment.cgi?id=210093,https://bugzilla.mozilla.org/attachment.cgi?id=210109,https://bugzilla.mozilla.org/attachment.cgi?id=210110"
CVE-2006-1725,2006-02-13 16:46:00 UTC,NON-TACTICAL,,,1,1,https://bugzilla.mozilla.org/show_bug.cgi?id=327014,https://bugzilla.mozilla.org/attachment.cgi?id=214273
CVE-2006-1726,2006-01-15 08:43:00 UTC,NON-TACTICAL,,,1,27,https://bugzilla.mozilla.org/show_bug.cgi?id=323501,https://bugzilla.mozilla.org/attachment.cgi?id=209540
CVE-2006-1727,2006-02-05 16:42:00 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,2,48,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=325991,328469",https://bugzilla.mozilla.org/attachment.cgi?id=210831
CVE-2006-1728,2006-02-14 11:23:00 UTC,TACTICAL,CWE-94 Improper Control of Generation of Code ('Code Injection'),Validate Inputs,1,14,https://bugzilla.mozilla.org/show_bug.cgi?id=327126,https://bugzilla.mozilla.org/attachment.cgi?id=212066
CVE-2006-1729,2006-02-05 04:43:00 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,2,31,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=325947,328566","https://bugzilla.mozilla.org/attachment.cgi?id=211417,https://bugzilla.mozilla.org/attachment.cgi?id=213254,https://bugzilla.mozilla.org/attachment.cgi?id=210816"
CVE-2006-1730,2006-02-01 03:46:00 UTC,NON-TACTICAL,,,2,154,https://bugzilla.mozilla.org/show_bug.cgi?id=325403,"https://bugzilla.mozilla.org/attachment.cgi?id=211757,https://bugzilla.mozilla.org/attachment.cgi?id=210957"
CVE-2006-1731,2005-04-15 17:18:00 UTC,TACTICAL,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Validate Inputs,3,59,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=327194,290488","https://bugzilla.mozilla.org/attachment.cgi?id=180840,https://bugzilla.mozilla.org/attachment.cgi?id=180970,https://bugzilla.mozilla.org/attachment.cgi?id=180971"
CVE-2006-1732,2005-10-22 12:14:00 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,3,96,https://bugzilla.mozilla.org/show_bug.cgi?id=313373,"https://bugzilla.mozilla.org/attachment.cgi?id=200824,https://bugzilla.mozilla.org/attachment.cgi?id=200682,https://bugzilla.mozilla.org/attachment.cgi?id=200681,https://bugzilla.mozilla.org/attachment.cgi?id=200806"
CVE-2006-1733,2005-10-18 16:35:00 UTC,TACTICAL,CWE-94 Improper Control of Generation of Code ('Code Injection'),Validate Inputs,5,260,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=312871,313236,313375","https://bugzilla.mozilla.org/attachment.cgi?id=211313,https://bugzilla.mozilla.org/attachment.cgi?id=200330,https://bugzilla.mozilla.org/attachment.cgi?id=200022,https://bugzilla.mozilla.org/attachment.cgi?id=201202,https://bugzilla.mozilla.org/attachment.cgi?id=211336,https://bugzilla.mozilla.org/attachment.cgi?id=200400"
CVE-2006-1734,2005-10-22 12:06:00 UTC,NON-TACTICAL,,,5,278,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=313370,313684","https://bugzilla.mozilla.org/attachment.cgi?id=200706,https://bugzilla.mozilla.org/attachment.cgi?id=200713,https://bugzilla.mozilla.org/attachment.cgi?id=200534,https://bugzilla.mozilla.org/attachment.cgi?id=200688"
CVE-2006-1735,2005-10-04 08:19:00 UTC,TACTICAL,CWE-94 Improper Control of Generation of Code ('Code Injection'),Validate Inputs,3,263,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=311025,311403,311455","https://bugzilla.mozilla.org/attachment.cgi?id=199611,https://bugzilla.mozilla.org/attachment.cgi?id=198818,https://bugzilla.mozilla.org/attachment.cgi?id=199395,https://bugzilla.mozilla.org/attachment.cgi?id=211315,https://bugzilla.mozilla.org/attachment.cgi?id=198616,https://bugzilla.mozilla.org/attachment.cgi?id=198977,https://bugzilla.mozilla.org/attachment.cgi?id=198762"
CVE-2006-1736,2005-05-09 21:25:00 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,3,81,https://bugzilla.mozilla.org/show_bug.cgi?id=293527,"https://bugzilla.mozilla.org/attachment.cgi?id=211253,https://bugzilla.mozilla.org/attachment.cgi?id=188675,https://bugzilla.mozilla.org/attachment.cgi?id=188699"
CVE-2006-1737,2005-02-02 12:47:00 UTC,NON-TACTICAL,,,6,2063,https://bugzilla.mozilla.org/show_bug.cgi?id=280769,"https://bugzilla.mozilla.org/attachment.cgi?id=196446,https://bugzilla.mozilla.org/attachment.cgi?id=191540,https://bugzilla.mozilla.org/attachment.cgi?id=196442,https://bugzilla.mozilla.org/attachment.cgi?id=196441,https://bugzilla.mozilla.org/attachment.cgi?id=196440,https://bugzilla.mozilla.org/attachment.cgi?id=196458,https://bugzilla.mozilla.org/attachment.cgi?id=175864,https://bugzilla.mozilla.org/attachment.cgi?id=212040,https://bugzilla.mozilla.org/attachment.cgi?id=197830"
CVE-2006-1738,2005-10-20 18:18:00 UTC,NON-TACTICAL,,,2,42,https://bugzilla.mozilla.org/show_bug.cgi?id=313173,https://bugzilla.mozilla.org/attachment.cgi?id=200288
CVE-2006-1739,2004-10-23 11:00:00 UTC,NON-TACTICAL,,,1,116,https://bugzilla.mozilla.org/show_bug.cgi?id=265736,"https://bugzilla.mozilla.org/attachment.cgi?id=201239,https://bugzilla.mozilla.org/attachment.cgi?id=201098,https://bugzilla.mozilla.org/attachment.cgi?id=201376,https://bugzilla.mozilla.org/attachment.cgi?id=201370,https://bugzilla.mozilla.org/attachment.cgi?id=201541"
CVE-2006-1740,2004-11-22 09:32:00 UTC,TACTICAL,CWE-297 Improper Validation of Certificate with Host Mismatch,Identify Actors,1,52,https://bugzilla.mozilla.org/show_bug.cgi?id=271194,https://bugzilla.mozilla.org/attachment.cgi?id=200144
CVE-2006-1742,2005-10-07 13:59:00 UTC,NON-TACTICAL,,,21,1171,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=311497,311792,312278,313276,313479,313500,313630,313724,313763,313938,325269","https://bugzilla.mozilla.org/attachment.cgi?id=200552,https://bugzilla.mozilla.org/attachment.cgi?id=200524,https://bugzilla.mozilla.org/attachment.cgi?id=201179,https://bugzilla.mozilla.org/attachment.cgi?id=200717,https://bugzilla.mozilla.org/attachment.cgi?id=199543,https://bugzilla.mozilla.org/attachment.cgi?id=200549,https://bugzilla.mozilla.org/attachment.cgi?id=200961,https://bugzilla.mozilla.org/attachment.cgi?id=200481,https://bugzilla.mozilla.org/attachment.cgi?id=211341,https://bugzilla.mozilla.org/attachment.cgi?id=200528,https://bugzilla.mozilla.org/attachment.cgi?id=199604,https://bugzilla.mozilla.org/attachment.cgi?id=199024,https://bugzilla.mozilla.org/attachment.cgi?id=211457,https://bugzilla.mozilla.org/attachment.cgi?id=201107,https://bugzilla.mozilla.org/attachment.cgi?id=199634,https://bugzilla.mozilla.org/attachment.cgi?id=200392,https://bugzilla.mozilla.org/attachment.cgi?id=200129,https://bugzilla.mozilla.org/attachment.cgi?id=211904,https://bugzilla.mozilla.org/attachment.cgi?id=199612,https://bugzilla.mozilla.org/attachment.cgi?id=210462,https://bugzilla.mozilla.org/attachment.cgi?id=210408,https://bugzilla.mozilla.org/attachment.cgi?id=198796,https://bugzilla.mozilla.org/attachment.cgi?id=200293,https://bugzilla.mozilla.org/attachment.cgi?id=210464,https://bugzilla.mozilla.org/attachment.cgi?id=211335,https://bugzilla.mozilla.org/attachment.cgi?id=198980,https://bugzilla.mozilla.org/attachment.cgi?id=200648"
CVE-2006-2775,2006-03-07 22:41:00 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,9,444,https://bugzilla.mozilla.org/show_bug.cgi?id=329677,"https://bugzilla.mozilla.org/attachment.cgi?id=225480,https://bugzilla.mozilla.org/attachment.cgi?id=219329,https://bugzilla.mozilla.org/attachment.cgi?id=219354,https://bugzilla.mozilla.org/attachment.cgi?id=219331"
CVE-2006-2776,2006-03-17 03:34:00 UTC,TACTICAL,CWE-269 Improper Privilege Management,Authorize Actors,4,154,https://bugzilla.mozilla.org/show_bug.cgi?id=330773,"https://bugzilla.mozilla.org/attachment.cgi?id=215736,https://bugzilla.mozilla.org/attachment.cgi?id=216133,https://bugzilla.mozilla.org/attachment.cgi?id=216144,https://bugzilla.mozilla.org/attachment.cgi?id=225482,https://bugzilla.mozilla.org/attachment.cgi?id=215932,https://bugzilla.mozilla.org/attachment.cgi?id=217039"
CVE-2006-2778,2006-03-18 02:06:00 UTC,NON-TACTICAL,,,1,2,https://bugzilla.mozilla.org/show_bug.cgi?id=330897,https://bugzilla.mozilla.org/attachment.cgi?id=215465
CVE-2006-2779,2006-04-06 10:02:00 UTC,TACTICAL,CWE-94 Improper Control of Generation of Code ('Code Injection'),Validate Inputs,1,21,https://bugzilla.mozilla.org/show_bug.cgi?id=332971,https://bugzilla.mozilla.org/attachment.cgi?id=217630
CVE-2006-2780,2006-04-26 15:59:00 UTC,TACTICAL,CWE-94 Improper Control of Generation of Code ('Code Injection'),Validate Inputs,1,5,https://bugzilla.mozilla.org/show_bug.cgi?id=335535,https://bugzilla.mozilla.org/attachment.cgi?id=219918
CVE-2006-2781,2006-04-17 20:26:00 UTC,NON-TACTICAL,,,1,15,https://bugzilla.mozilla.org/show_bug.cgi?id=334384,"https://bugzilla.mozilla.org/attachment.cgi?id=218720,https://bugzilla.mozilla.org/attachment.cgi?id=219683"
CVE-2006-2783,2006-04-28 15:13:00 UTC,TACTICAL,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Validate Inputs,2,25,https://bugzilla.mozilla.org/show_bug.cgi?id=335816,https://bugzilla.mozilla.org/attachment.cgi?id=220218
CVE-2006-2786,2006-03-08 09:19:00 UTC,NON-TACTICAL,,,10,413,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=329746,330214","https://bugzilla.mozilla.org/attachment.cgi?id=217165,https://bugzilla.mozilla.org/attachment.cgi?id=225475,https://bugzilla.mozilla.org/attachment.cgi?id=217369,https://bugzilla.mozilla.org/attachment.cgi?id=225476"
CVE-2006-2787,2005-12-06 05:11:00 UTC,TACTICAL,CWE-266 Incorrect Privilege Assignment,Authorize Actors,8,205,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=319263,321101,336313,336601","https://bugzilla.mozilla.org/attachment.cgi?id=220560,https://bugzilla.mozilla.org/attachment.cgi?id=225473,https://bugzilla.mozilla.org/attachment.cgi?id=220743,https://bugzilla.mozilla.org/attachment.cgi?id=220991"
CVE-2006-3113,2005-12-20 18:30:00 UTC,NON-TACTICAL,,,4,267,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=342507,320982","https://bugzilla.mozilla.org/attachment.cgi?id=225806,https://bugzilla.mozilla.org/attachment.cgi?id=226916,https://bugzilla.mozilla.org/attachment.cgi?id=224838"
CVE-2006-3802,2006-06-01 05:15:00 UTC,TACTICAL,CWE-668 Exposure of Resource to Wrong Sphere,Authorize Actors,1,50,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=343594,339918",https://bugzilla.mozilla.org/attachment.cgi?id=224284
CVE-2006-3803,2006-07-15 06:23:00 UTC,NON-TACTICAL,,,2,43,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=344759,344960","https://bugzilla.mozilla.org/attachment.cgi?id=229765,https://bugzilla.mozilla.org/attachment.cgi?id=229759,https://bugzilla.mozilla.org/attachment.cgi?id=229565"
CVE-2006-3804,2006-05-30 22:23:00 UTC,NON-TACTICAL,,,1,3,https://bugzilla.mozilla.org/show_bug.cgi?id=339740,https://bugzilla.mozilla.org/attachment.cgi?id=223964
CVE-2006-3805,2006-01-20 11:05:00 UTC,NON-TACTICAL,,,32,1077,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=324117,325425,339785,340129,341877,341956,338804","https://bugzilla.mozilla.org/attachment.cgi?id=223003,https://bugzilla.mozilla.org/attachment.cgi?id=223907,https://bugzilla.mozilla.org/attachment.cgi?id=210985,https://bugzilla.mozilla.org/attachment.cgi?id=223007,https://bugzilla.mozilla.org/attachment.cgi?id=226484,https://bugzilla.mozilla.org/attachment.cgi?id=225492,https://bugzilla.mozilla.org/attachment.cgi?id=226482,https://bugzilla.mozilla.org/attachment.cgi?id=225487,https://bugzilla.mozilla.org/attachment.cgi?id=227818,https://bugzilla.mozilla.org/attachment.cgi?id=232725,https://bugzilla.mozilla.org/attachment.cgi?id=232727,https://bugzilla.mozilla.org/attachment.cgi?id=232726,https://bugzilla.mozilla.org/attachment.cgi?id=223006,https://bugzilla.mozilla.org/attachment.cgi?id=227820,https://bugzilla.mozilla.org/attachment.cgi?id=225426,https://bugzilla.mozilla.org/attachment.cgi?id=225425"
CVE-2006-3806,2006-05-03 12:08:00 UTC,NON-TACTICAL,,,11,213,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=336409,336410,338001,338121,342960","https://bugzilla.mozilla.org/attachment.cgi?id=312311,https://bugzilla.mozilla.org/attachment.cgi?id=222153,https://bugzilla.mozilla.org/attachment.cgi?id=232732,https://bugzilla.mozilla.org/attachment.cgi?id=222178,https://bugzilla.mozilla.org/attachment.cgi?id=226414,https://bugzilla.mozilla.org/attachment.cgi?id=232731,https://bugzilla.mozilla.org/attachment.cgi?id=232729,https://bugzilla.mozilla.org/attachment.cgi?id=227486,https://bugzilla.mozilla.org/attachment.cgi?id=226453,https://bugzilla.mozilla.org/attachment.cgi?id=222499,https://bugzilla.mozilla.org/attachment.cgi?id=225358,https://bugzilla.mozilla.org/attachment.cgi?id=232728,https://bugzilla.mozilla.org/attachment.cgi?id=232730"
CVE-2006-3807,2006-06-07 21:54:00 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,2,6,https://bugzilla.mozilla.org/show_bug.cgi?id=340727,"https://bugzilla.mozilla.org/attachment.cgi?id=224775,https://bugzilla.mozilla.org/attachment.cgi?id=232733"
CVE-2006-3809,2006-06-02 14:50:00 UTC,TACTICAL,CWE-266 Incorrect Privilege Assignment,Authorize Actors,5,55,https://bugzilla.mozilla.org/show_bug.cgi?id=340107,"https://bugzilla.mozilla.org/attachment.cgi?id=227034,https://bugzilla.mozilla.org/attachment.cgi?id=227046,https://bugzilla.mozilla.org/attachment.cgi?id=232735"
CVE-2006-3810,2006-05-19 09:58:00 UTC,TACTICAL,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Validate Inputs,1,5,https://bugzilla.mozilla.org/show_bug.cgi?id=338523,https://bugzilla.mozilla.org/attachment.cgi?id=226409
CVE-2006-3811,2006-05-10 17:43:00 UTC,NON-TACTICAL,,,3,161,https://bugzilla.mozilla.org/show_bug.cgi?id=337462,"https://bugzilla.mozilla.org/attachment.cgi?id=226897,https://bugzilla.mozilla.org/attachment.cgi?id=226890,https://bugzilla.mozilla.org/attachment.cgi?id=227156"
CVE-2006-3812,2006-05-15 19:13:00 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,1,11,https://bugzilla.mozilla.org/show_bug.cgi?id=338037,https://bugzilla.mozilla.org/attachment.cgi?id=222154
CVE-2006-4340,2006-10-10 22:00:00 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,9,92,https://bugzilla.mozilla.org/show_bug.cgi?id=356215,"https://bugzilla.mozilla.org/attachment.cgi?id=241882,https://bugzilla.mozilla.org/attachment.cgi?id=242309"
CVE-2006-4565,2006-07-27 13:19:00 UTC,NON-TACTICAL,,,1,11,https://bugzilla.mozilla.org/show_bug.cgi?id=346090,"https://bugzilla.mozilla.org/attachment.cgi?id=235710,https://bugzilla.mozilla.org/attachment.cgi?id=235339"
CVE-2006-4566,2006-08-01 05:25:00 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,1,12,https://bugzilla.mozilla.org/show_bug.cgi?id=346794,https://bugzilla.mozilla.org/attachment.cgi?id=231554
CVE-2006-4567,2006-06-03 01:49:00 UTC,TACTICAL,CWE-295 Improper Certificate Validation,Identify Actors,1,39,https://bugzilla.mozilla.org/show_bug.cgi?id=340198,https://bugzilla.mozilla.org/attachment.cgi?id=234730
