cve_id,date_of_report,cve_type,root_cause,security_tactic,total_impacted_files,code_churn,issue_tracking_url,patch_url
CVE-2010-0660,2009-12-9 21:43:24 UTC,TACTICAL,CWE-212 Improper Cross-boundary Removal of Sensitive Data,Limit Access,6,56,http://bugs.chromium.org/p/chromium/issues/detail?id=29920,"http://src.chromium.org/viewvc/chrome?view=rev&revision=34751,http://src.chromium.org/viewvc/chrome?view=rev&revision=34763,http://src.chromium.org/viewvc/chrome?view=rev&revision=34936,http://src.chromium.org/viewvc/chrome?view=rev&revision=34935"
CVE-2010-0661,2009-12-17 07:16:27 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,5,51,https://bugs.chromium.org/p/chromium/issues/detail?id=30660,http://trac.webkit.org/changeset/52401
CVE-2010-0662,2009-12-30 02:42:22 UTC,NON-TACTICAL,,,2,28,http://bugs.chromium.org/p/chromium/issues/detail?id=31307,"http://src.chromium.org/viewvc/chrome?view=rev&revision=35476,http://src.chromium.org/viewvc/chrome?view=rev&revision=35371"
CVE-2010-0663,2009-12-30 02:42:22 UTC,NON-TACTICAL,,,2,28,http://bugs.chromium.org/p/chromium/issues/detail?id=31307,"http://src.chromium.org/viewvc/chrome?view=rev&revision=35476,http://src.chromium.org/viewvc/chrome?view=rev&revision=35371"
CVE-2010-0664,2010-01-04 16:32:37 UTC,NON-TACTICAL,,,4,36,https://bugs.chromium.org/p/chromium/issues/detail?id=31517,"http://src.chromium.org/viewvc/chrome?view=rev&revision=35605,http://src.chromium.org/viewvc/chrome?view=rev&revision=35585"
CVE-2010-1228,2009-11-25 19:32:25 UTC,NON-TACTICAL,,,49,1840,"https://bugs.chromium.org/p/chromium/issues/detail?id=28804,https://bugs.chromium.org/p/chromium/issues/detail?id=31880","http://src.chromium.org/viewvc/chrome?view=rev&revision=37286,http://src.chromium.org/viewvc/chrome?view=rev&revision=38725,http://src.chromium.org/viewvc/chrome?view=rev&revision=38724,http://src.chromium.org/viewvc/chrome?view=rev&revision=37555"
CVE-2010-1229,2009-11-25 19:32:25 UTC,TACTICAL,CWE-610 Externally Controlled Reference to a Resource in Another Sphere,Limit Access,29,1190,"https://bugs.chromium.org/p/chromium/issues/detail?id=28804
https://bugs.chromium.org/p/chromium/issues/detail?id=31880","https://src.chromium.org/viewvc/chrome?revision=38725&view=revision,https://src.chromium.org/viewvc/chrome?revision=37555&view=revision"
CVE-2010-1230,2009-12-18 20:38:10 UTC,NON-TACTICAL,,,10,279,"https://bugs.chromium.org/p/chromium/issues/detail?id=30801,https://bugs.chromium.org/p/chromium/issues/detail?id=33445","http://src.chromium.org/viewvc/chrome?view=rev&revision=39733,http://src.chromium.org/viewvc/chrome?view=rev&revision=39684"
CVE-2010-1231,2010-02-17 21:51:49 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,6,482,https://bugs.chromium.org/p/chromium/issues/detail?id=36046,https://src.chromium.org/viewvc/chrome?revision=40184&view=revision
CVE-2010-1232,2010-02-8 08:27:11 UTC,NON-TACTICAL,,,100,1251,http://bugs.chromium.org/p/chromium/issues/detail?id=34978,"http://src.chromium.org/viewvc/chrome?view=rev&revision=39544,http://src.chromium.org/viewvc/chrome?view=rev&revision=39545"
CVE-2010-1234,2010-02-25 09:36:28 UTC,NON-TACTICAL,CWE-287 Improper Authentication,Authenticate Actors,1,1,https://bugs.chromium.org/p/chromium/issues/detail?id=36772,https://src.chromium.org/viewvc/chrome?revision=40708&view=revision
CVE-2010-1235,2010-02-28 04:13:56 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,4,74,http://bugs.chromium.org/p/chromium/issues/detail?id=37007,"http://src.chromium.org/viewvc/chrome?view=rev&revision=41103,http://src.chromium.org/viewvc/chrome?view=rev&revision=40479"
CVE-2010-1236,2010-03-04 07:28:45 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,6,50,https://bugs.chromium.org/p/chromium/issues/detail?id=37383,"http://codereview.chromium.org/858001,http://src.chromium.org/viewvc/chrome?view=rev&revision=41244"
CVE-2010-1237,2010-03-1 10:18:48 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,22,53,http://bugs.chromium.org/p/chromium/issues/detail?id=37061,"http://src.chromium.org/viewvc/chrome?view=rev&revision=40829,http://src.chromium.org/viewvc/chrome?view=rev&revision=40828,http://src.chromium.org/viewvc/chrome?view=rev&revision=40827"
CVE-2010-1500,2010-03-26 11:58:30 UTC,NON-TACTICAL,,,2,118,https://bugs.chromium.org/p/chromium/issues/detail?id=39443,https://codereview.chromium.org/3037052
CVE-2010-1502,2010-04-01 20:16:13 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,2,20,https://bugs.chromium.org/p/chromium/issues/detail?id=40136,"http://src.chromium.org/viewvc/chrome?view=rev&revision=43561,http://src.chromium.org/viewvc/chrome?view=rev&revision=43560"
CVE-2010-1503,2010-04-01 20:17:49 UTC,TACTICAL,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Validate Inputs,2,4,https://bugs.chromium.org/p/chromium/issues/detail?id=40137,"http://src.chromium.org/viewvc/chrome?view=rev&revision=43398,http://src.chromium.org/viewvc/chrome?view=rev&revision=43402"
CVE-2010-1504,2010-04-01 20:18:45 UTC,TACTICAL,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Validate Inputs,2,0,https://bugs.chromium.org/p/chromium/issues/detail?id=40138,"http://src.chromium.org/viewvc/chrome?view=rev&revision=43415,http://src.chromium.org/viewvc/chrome?view=rev&revision=43414"
CVE-2010-1505,2010-04-6 19:32:11 UTC,TACTICAL,CWE-277 Insecure Inherited Permissions,Authorize Actors,5,41,https://bugs.chromium.org/p/chromium/issues/detail?id=40575,"https://src.chromium.org/viewvc/chrome?revision=43968&view=revision,https://src.chromium.org/viewvc/chrome?revision=44112&view=revision"
CVE-2010-1506,2010-04-07 09:46:55 UTC,NON-TACTICAL,,,1,4,https://bugs.chromium.org/p/chromium/issues/detail?id=40635,http://src.chromium.org/viewvc/chrome?view=rev&revision=43874
CVE-2010-1663,2010-04-05 19:45:36 UTC,TACTICAL,CWE-551 Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,Authorize Actors,2,18,https://bugs.chromium.org/p/chromium/issues/detail?id=40445,https://codereview.chromium.org/1558030/
CVE-2010-1664,2010-04-07 09:46:55 UTC,NON-TACTICAL,,,6,46,https://bugs.chromium.org/p/chromium/issues/detail?id=40487,http://src.chromium.org/viewvc/chrome?view=rev&revision=45141
CVE-2010-1665,2010-04-22 10:04:09 UTC,NON-TACTICAL,,,7,126,http://bugs.chromium.org/p/chromium/issues/detail?id=42294,"https://codereview.chromium.org/1783003,https://codereview.chromium.org/1752014"
CVE-2010-1767,2010-03-29 16:23:01 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,12,365,https://bugs.chromium.org/p/chromium/issues/detail?id=39698,http://trac.webkit.org/changeset/57041
CVE-2010-1770,2010-05-6 23:49:04 UTC,TACTICAL,CWE-94 Improper Control of Generation of Code ('Code Injection'),Validate Inputs,6,6,http://bugs.chromium.org/p/chromium/issues/detail?id=43487,http://src.chromium.org/viewvc/chrome?view=rev&revision=48112
CVE-2010-1772,2010-05-23 16:15:21 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,5,50,https://bugs.chromium.org/p/chromium/issues/detail?id=44868,http://trac.webkit.org/changeset/59859
CVE-2010-1773,2010-05-24 23:17:57 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,6,97,https://bugs.chromium.org/p/chromium/issues/detail?id=44955,http://trac.webkit.org/changeset/59950
CVE-2010-1822,2010-09-10 16:34:49 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,4,21,https://bugs.chromium.org/p/chromium/issues/detail?id=55114,https://codereview.chromium.org/3436008
CVE-2010-1823,2010-07-26 19:23:06 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,37,495,https://bugs.chromium.org/p/chromium/issues/detail?id=50250,https://codereview.chromium.org/3341023
CVE-2010-1824,2010-07-30 03:03:48 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,3,24,https://bugs.chromium.org/p/chromium/issues/detail?id=50712,https://codereview.chromium.org/3364011
CVE-2010-1825,2010-08-05 08:46:54 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,4,27,https://bugs.chromium.org/p/chromium/issues/detail?id=51252,http://src.chromium.org/viewvc/chrome?view=rev&revision=59011
CVE-2010-2105,2009-02-13 21:33:13 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,3,361,http://bugs.chromium.org/p/chromium/issues/detail?id=7713,http://src.chromium.org/viewvc/chrome?view=rev&revision=43100
CVE-2010-2106,2009-07-11 17:32:10 UTC,NON-TACTICAL,,,3,109,https://bugs.chromium.org/p/chromium/issues/detail?id=16535,https://src.chromium.org/viewvc/chrome?revision=41844&view=revision
CVE-2010-2107,2009-12-11 09:21:31 UTC,NON-TACTICAL,,,1,1,http://bugs.chromium.org/p/chromium/issues/detail?id=30079,http://src.chromium.org/viewvc/chrome?view=rev&revision=42049
CVE-2010-2108,2010-03-29 22:19:23 UTC,TACTICAL,CWE-274 Improper Handling of Insufficient Privileges,Authorize Actors,1,8,"https://bugs.chromium.org/p/chromium/issues/detail?id=39740
https://googlechromereleases.blogspot.com/2010/05/stable-channel-update.html",https://src.chromium.org/viewvc/chrome?revision=43792&view=revision
CVE-2010-2109,2010-04-14 15:39:13 UTC,NON-TACTICAL,,,8,16,http://bugs.chromium.org/p/chromium/issues/detail?id=41469,http://src.chromium.org/viewvc/chrome?view=rev&revision=46185
CVE-2010-2110,2010-04-21 19:06:11 UTC,NON-TACTICAL,,,3,5,https://bugs.chromium.org/p/chromium/issues/detail?id=42228,https://src.chromium.org/viewvc/chrome?revision=45686&view=revision
CVE-2010-2295,2009-07-01 19:52:31 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,3,8,https://bugs.chromium.org/p/chromium/issues/detail?id=15766,https://src.chromium.org/viewvc/chrome?view=revision&revision=48067
CVE-2010-2296,2010-03-31 14:33:44 UTC,TACTICAL,CWE-346 Origin Validation Error,Identify Actors,3,14,"https://bugs.chromium.org/p/chromium/issues/detail?id=39985
https://googlechromereleases.blogspot.com/2010/06/stable-channel-update.html",https://src.chromium.org/viewvc/chrome?revision=48159&view=revision
CVE-2010-2297,2010-04-28 14:15:49 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,5,3,http://bugs.chromium.org/p/chromium/issues/detail?id=42723,http://src.chromium.org/viewvc/chrome?view=rev&revision=48059
CVE-2010-2298,2010-05-5 12:32:25 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,1,6,http://bugs.chromium.org/p/chromium/issues/detail?id=43304,http://src.chromium.org/viewvc/chrome?view=rev&revision=48057
CVE-2010-2299,2010-05-5 13:27:50 UTC,TACTICAL,CWE-94 Improper Control of Generation of Code ('Code Injection'),Validate Inputs,2,8,http://bugs.chromium.org/p/chromium/issues/detail?id=43307,"http://src.chromium.org/viewvc/chrome?view=rev&revision=48054,http://src.chromium.org/viewvc/chrome?view=rev&revision=46639"
CVE-2010-2300,2010-05-5 14:24:48 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,7,19,http://bugs.chromium.org/p/chromium/issues/detail?id=43315,http://src.chromium.org/viewvc/chrome?view=rev&revision=48051
CVE-2010-2301,2010-05-11 19:10:34 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,7,6,https://bugs.chromium.org/p/chromium/issues/detail?id=43902,http://src.chromium.org/viewvc/chrome?view=rev&revision=48062
CVE-2010-2302,2010-05-21 11:11:05 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,17,25,http://bugs.chromium.org/p/chromium/issues/detail?id=44740,http://src.chromium.org/viewvc/chrome?view=rev&revision=48113
CVE-2010-2645,2010-04-23 08:59:25 UTC,NON-TACTICAL,,,40,389,http://bugs.chromium.org/p/chromium/issues/detail?id=42396,http://src.chromium.org/viewvc/chrome?view=rev&revision=51034
CVE-2010-2646,2010-04-26 21:00:26 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,10,50,"https://bugs.chromium.org/p/chromium/issues/detail?id=42575
https://bugs.chromium.org/p/chromium/issues/detail?id=42980","https://src.chromium.org/viewvc/chrome?revision=51030&view=revision,https://src.chromium.org/viewvc/chrome?revision=51028&view=revision"
CVE-2010-2647,2010-05-6 23:50:46 UTC,NON-TACTICAL,,,4,23,http://bugs.chromium.org/p/chromium/issues/detail?id=43488,http://src.chromium.org/viewvc/chrome?view=rev&revision=51048
CVE-2010-2648,2010-05-18 01:46:15 UTC,NON-TACTICAL,,,5,67,https://bugs.chromium.org/p/chromium/issues/detail?id=44424,https://src.chromium.org/viewvc/chrome?revision=51012&view=revision
CVE-2010-2649,2010-05-26 22:36:52 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,2,19,http://bugs.chromium.org/p/chromium/issues/detail?id=45164,"http://src.chromium.org/viewvc/chrome?view=rev&revision=51016,http://src.chromium.org/viewvc/chrome?view=rev&revision=51017"
CVE-2010-2650,2010-06-15 16:15:33 UTC,NON-TACTICAL,,,6,80,http://bugs.chromium.org/p/chromium/issues/detail?id=46575,"http://src.chromium.org/viewvc/chrome?view=rev&revision=50203,http://src.chromium.org/viewvc/chrome?view=rev&revision=51019"
CVE-2010-2651,2010-06-11 16:30:11 UTC,NON-TACTICAL,,,1,14,http://bugs.chromium.org/p/chromium/issues/detail?id=46360,http://src.chromium.org/viewvc/chrome?view=rev&revision=51014
CVE-2010-2652,2010-06-21 15:28:30 UTC,NON-TACTICAL,,,6,26,http://bugs.chromium.org/p/chromium/issues/detail?id=47056,"http://src.chromium.org/viewvc/chrome?view=rev&revision=50561,http://src.chromium.org/viewvc/chrome?view=rev&revision=51022"
CVE-2010-2897,2010-07-04 07:24:13 UTC,NON-TACTICAL,,,1,0,https://bugs.chromium.org/p/chromium/issues/detail?id=48283,http://src.chromium.org/viewvc/chrome?view=rev&revision=52387
CVE-2010-2898,2010-07-09 22:23:13 UTC,NON-TACTICAL,,,1,5,https://bugs.chromium.org/p/chromium/issues/detail?id=48733,https://src.chromium.org/viewvc/chrome?revision=52130&view=revision
CVE-2010-2899,2010-04-28 16:15:13 UTC,NON-TACTICAL,,,10,10,https://bugs.chromium.org/p/chromium/issues/detail?id=42736,https://src.chromium.org/viewvc/chrome?revision=52369&view=revision
CVE-2010-2900,2010-05-10 22:33:53 UTC,NON-TACTICAL,,,4,13,https://bugs.chromium.org/p/chromium/issues/detail?id=43813,https://src.chromium.org/viewvc/chrome?revision=52383&view=revision
CVE-2010-2901,2010-06-29 16:51:59 UTC,NON-TACTICAL,,,8,51,http://bugs.chromium.org/p/chromium/issues/detail?id=47866,"http://src.chromium.org/viewvc/chrome?view=rev&revision=52365,http://src.chromium.org/viewvc/chrome?view=rev&revision=52374"
CVE-2010-2902,2010-07-4 08:11:12 UTC,NON-TACTICAL,,,6,3,http://bugs.chromium.org/p/chromium/issues/detail?id=48284,http://src.chromium.org/viewvc/chrome?view=rev&revision=52351
CVE-2010-2903,2010-07-08 21:43:32 UTC,NON-TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,2,6,https://bugs.chromium.org/p/chromium/issues/detail?id=48597,https://src.chromium.org/viewvc/chrome?revision=52346&view=revision
CVE-2010-3113,2010-07-20 06:35:49 UTC,NON-TACTICAL,,,5,52,https://bugs.chromium.org/p/chromium/issues/detail?id=49596,http://trac.webkit.org/changeset/63865
CVE-2010-3114,2010-07-20 15:20:04 UTC,NON-TACTICAL,,,7,83,https://bugs.chromium.org/p/chromium/issues/detail?id=49628,http://trac.webkit.org/changeset/63773
CVE-2010-3115,2010-07-22 19:25:10 UTC,NON-TACTICAL,,,6,12,http://bugs.chromium.org/p/chromium/issues/detail?id=49964,http://src.chromium.org/viewvc/chrome?view=rev&revision=55077
CVE-2010-3117,2010-07-28 19:58:05 UTC,NON-TACTICAL,,,3,30,http://bugs.chromium.org/p/chromium/issues/detail?id=50553,"http://src.chromium.org/viewvc/chrome?view=rev&revision=55470,http://src.chromium.org/viewvc/chrome?view=rev&revision=55016,http://src.chromium.org/viewvc/chrome?view=rev&revision=54713,http://src.chromium.org/viewvc/chrome?view=rev&revision=55469,http://src.chromium.org/viewvc/chrome?view=rev&revision=55423,http://src.chromium.org/viewvc/chrome?view=rev&revision=55424"
CVE-2010-3118,2010-08-4 08:01:59 UTC,TACTICAL,CWE-201 Information Exposure Through Sent Data,Limit Access,6,290,http://bugs.chromium.org/p/chromium/issues/detail?id=51146,"http://src.chromium.org/viewvc/chrome?view=rev&revision=55498,http://src.chromium.org/viewvc/chrome?view=rev&revision=55499,http://src.chromium.org/viewvc/chrome?view=rev&revision=55496,http://src.chromium.org/viewvc/chrome?view=rev&revision=55512,http://src.chromium.org/viewvc/chrome?view=rev&revision=55500,http://src.chromium.org/viewvc/chrome?view=rev&revision=55501,http://src.chromium.org/viewvc/chrome?view=rev&revision=55502"
CVE-2010-3119,2010-08-10 04:48:38 UTC,NON-TACTICAL,,,6,64,http://bugs.chromium.org/p/chromium/issues/detail?id=51654,"http://src.chromium.org/viewvc/chrome?view=rev&revision=55883,http://src.chromium.org/viewvc/chrome?view=rev&revision=55884"
CVE-2010-3120,2010-08-10 08:11:02 UTC,NON-TACTICAL,,,12,47,http://bugs.chromium.org/p/chromium/issues/detail?id=51670,"http://src.chromium.org/viewvc/chrome?view=rev&revision=56368,http://src.chromium.org/viewvc/chrome?view=rev&revision=56366"
CVE-2010-3246,2010-02-3 08:52:02 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,8,46,http://bugs.chromium.org/p/chromium/issues/detail?id=34414,"http://src.chromium.org/viewvc/chrome?view=rev&revision=60014,http://src.chromium.org/viewvc/chrome?view=rev&revision=59215"
CVE-2010-3247,2010-03-2 18:10:58 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,4,98,http://bugs.chromium.org/p/chromium/issues/detail?id=37201,"http://src.chromium.org/viewvc/chrome?view=rev&revision=53850,http://src.chromium.org/viewvc/chrome?view=rev&revision=55076"
CVE-2010-3248,2010-04-15 19:14:07 UTC,TACTICAL,CWE-274 Improper Handling of Insufficient Privileges,Authorize Actors,10,26,http://bugs.chromium.org/p/chromium/issues/detail?id=41654,http://src.chromium.org/viewvc/chrome?view=rev&revision=46299
CVE-2010-3249,2010-06-2 17:56:58 UTC,NON-TACTICAL,,,26,856,http://bugs.chromium.org/p/chromium/issues/detail?id=45659,"http://trac.webkit.org/changeset/60541,http://trac.webkit.org/changeset/60540,http://trac.webkit.org/changeset/60539"
CVE-2010-3250,2010-06-04 20:07:29 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,25,440,https://bugs.chromium.org/p/chromium/issues/detail?id=45876,https://src.chromium.org/viewvc/chrome?revision=56215&view=revision
CVE-2010-3251,2010-06-17 00:53:27 UTC,NON-TACTICAL,,,3,42,"https://bugs.chromium.org/p/chromium/issues/detail?id=46750,https://bugs.chromium.org/p/chromium/issues/detail?id=51846","http://src.chromium.org/viewvc/chrome?view=rev&revision=56076,http://src.chromium.org/viewvc/chrome?view=rev&revision=52368,http://src.chromium.org/viewvc/chrome?view=rev&revision=50078,http://src.chromium.org/viewvc/chrome?view=rev&revision=51351,http://src.chromium.org/viewvc/chrome?view=rev&revision=51015,http://src.chromium.org/viewvc/chrome?view=rev&revision=56618"
CVE-2010-3253,2010-07-31 10:32:49 UTC,NON-TACTICAL,,,5,14,http://bugs.chromium.org/p/chromium/issues/detail?id=50839,"http://src.chromium.org/viewvc/chrome?view=rev&revision=55074,http://src.chromium.org/viewvc/chrome?view=rev&revision=55073"
CVE-2010-3254,2010-08-09 22:04:05 UTC,NON-TACTICAL,,,5,74,"https://bugs.chromium.org/p/chromium/issues/detail?id=51630,https://bugs.chromium.org/p/chromium/issues/detail?id=51739",http://src.chromium.org/viewvc/chrome?view=rev&revision=55919
